time,x,y
38.066667,1051,540
38.100000,1051,540
38.133333,1053,555
38.166667,1054,563
38.200000,1054,570
38.233333,1055,578
38.266667,1056,585
38.300000,1057,593
38.333333,1057,600
38.366667,1058,608
38.400000,1059,615
38.433333,1059,622
38.466667,1060,629
38.500000,1060,636
38.533333,1061,643
38.566667,1061,643
38.600000,1061,656
38.633333,1061,656
38.666667,1062,669
38.700000,1062,675
38.733333,1062,680
38.766667,1063,686
38.800000,1063,691
38.833333,1063,696
38.866667,1063,700
38.900000,1063,705
38.933333,1062,708
38.966667,1062,712
39.000000,1062,716
39.033333,1062,719
39.066667,1061,721
39.100000,1061,721
39.133333,1061,726
39.166667,1060,728
39.200000,1060,729
39.233333,1059,731
39.266667,1059,731
39.300000,1058,731
39.333333,1057,732
39.366667,1056,731
39.400000,1056,731
39.433333,1055,730
39.466667,1054,728
39.500000,1053,728
39.533333,1052,725
39.566667,1051,722
39.600000,1051,722
39.633333,1049,717
39.666667,1047,713
39.700000,1048,714
39.733333,1045,704
39.766667,1044,703
39.800000,1043,699
39.833333,1042,693
39.866667,1040,687
39.900000,1039,681
39.933333,1038,679
39.966667,1036,673
40.000000,1035,665
40.033333,1034,661
40.066667,1033,654
40.100000,1031,645
40.133333,1031,645
40.166667,1028,634
40.200000,1026,627
40.233333,1025,621
40.266667,1024,612
40.300000,1022,606
40.333333,1021,600
40.366667,1019,590
40.400000,1018,584
40.433333,1017,577
40.466667,1015,568
40.500000,1014,562
40.533333,1012,554
40.566667,1011,545
40.600000,1011,545
40.633333,1009,532
40.666667,1009,532
40.700000,1006,518
40.733333,1004,510
40.766667,1003,503
40.800000,1002,497
40.833333,1000,490
40.866667,999,484
40.900000,998,478
40.933333,997,470
40.966667,996,465
41.000000,995,461
41.033333,993,453
41.066667,992,449
41.100000,991,445
41.133333,991,445
41.166667,990,435
41.200000,990,435
41.233333,988,428
41.266667,987,425
41.300000,986,422
41.333333,985,418
41.366667,984,416
41.400000,984,414
41.433333,983,412
41.466667,983,411
41.500000,982,409
41.533333,982,409
41.566667,981,408
41.600000,980,408
41.633333,980,409
41.666667,980,409
41.700000,979,410
41.733333,979,412
41.766667,979,413
41.800000,979,415
41.833333,979,418
41.866667,979,421
41.900000,978,424
41.933333,979,427
41.966667,979,431
42.000000,979,434
42.033333,979,438
42.066667,979,443
42.100000,980,448
42.133333,980,448
42.166667,980,458
42.200000,980,458
42.233333,981,470
42.266667,981,470
42.300000,982,481
42.333333,983,487
42.366667,983,494
42.400000,984,501
42.433333,984,507
42.466667,985,514
42.500000,986,521
42.533333,987,528
42.566667,988,535
42.600000,989,542
42.633333,990,549
42.666667,991,557
42.700000,991,564
42.733333,991,564
42.766667,993,579
42.800000,995,587
42.833333,996,594
42.866667,997,601
42.900000,998,608
42.933333,999,616
42.966667,1000,623
43.000000,1001,630
43.033333,1003,637
43.066667,1004,643
43.100000,1006,650
43.133333,1007,656
43.166667,1007,656
43.200000,1009,667
43.233333,1011,674
43.266667,1012,679
43.300000,1012,679
43.333333,1015,690
43.366667,1016,694
43.400000,1018,698
43.433333,1019,703
43.466667,1021,706
43.500000,1022,710
43.533333,1023,714
43.566667,1025,717
43.600000,1026,719
43.633333,1028,722
43.666667,1029,724
43.700000,1029,724
43.733333,1032,727
43.766667,1033,728
43.800000,1034,729
43.833333,1036,730
43.866667,1037,729
43.900000,1038,728
43.933333,1040,728
43.966667,1041,728
44.000000,1042,726
44.033333,1043,723
44.066667,1044,721
44.100000,1045,720
44.133333,1046,717
44.166667,1047,713
44.200000,1047,713
44.233333,1050,707
44.266667,1052,703
44.300000,1053,699
44.333333,1053,695
44.366667,1054,691
44.400000,1055,686
44.433333,1055,686
44.466667,1057,674
44.500000,1057,669
44.533333,1058,663
44.566667,1059,657
44.600000,1059,651
44.633333,1060,645
44.666667,1060,638
44.700000,1060,631
44.733333,1060,631
44.766667,1061,618
44.800000,1061,611
44.833333,1062,604
44.866667,1062,596
44.900000,1062,589
44.933333,1062,581
44.966667,1063,575
45.000000,1063,567
45.033333,1063,559
45.066667,1063,552
45.100000,1063,545
45.133333,1062,537
45.166667,1062,537
45.200000,1062,523
45.233333,1062,516
45.266667,1062,516
45.300000,1061,501
45.333333,1061,501
45.366667,1061,490
45.400000,1060,482
45.433333,1060,475
45.466667,1059,471
45.500000,1058,465
45.533333,1058,459
45.566667,1058,453
45.600000,1058,447
45.633333,1056,443
45.666667,1055,439
45.700000,1054,435
45.733333,1054,435
45.766667,1054,426
45.800000,1053,421
45.833333,1053,421
45.866667,1051,418
45.900000,1050,416
45.933333,1049,413
45.966667,1049,409
46.000000,1048,407
46.033333,1046,408
46.066667,1045,409
46.100000,1044,408
46.133333,1043,407
46.166667,1043,407
46.200000,1042,407
46.233333,1041,409
46.266667,1041,409
46.300000,1038,413
46.333333,1037,415
46.366667,1037,416
46.400000,1036,418
46.433333,1034,422
46.466667,1033,427
46.500000,1031,431
46.533333,1031,434
46.566667,1030,438
46.600000,1029,442
46.633333,1028,446
46.666667,1026,452
46.700000,1025,459
46.733333,1025,459
46.766667,1023,469
46.800000,1023,474
46.833333,1023,474
46.866667,1019,488
46.900000,1018,496
46.933333,1017,502
46.966667,1017,508
47.000000,1016,514
47.033333,1015,521
47.066667,1013,529
47.100000,1012,537
47.133333,1011,545
47.166667,1011,552
47.200000,1011,552
47.233333,1010,558
47.266667,1010,558
47.300000,1009,565
47.333333,1009,565
47.366667,1007,582
47.400000,1004,609
47.433333,1003,617
47.466667,1002,625
47.500000,1001,633
47.533333,1000,639
47.566667,1000,645
47.600000,999,650
47.633333,999,657
47.666667,998,664
47.700000,997,671
